sample_id,video_id,frame_index,frame_stem,building_id,latitude,longitude,frame_path,mask_path,json_path,mask_file,damage_level,target,damage_description,stories,annotation_effort,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,mask_area_fraction,mask_centroid_x,mask_centroid_y,capture_date,region,source_video_url
1_0373_000,1,373,1_0373,B004,26.55438,-77.0968,data/raw/FRAME/1_0373.jpg,data/raw/MASK/1_0373_B0XX_0_Level1.jpg,data/raw/JSON/1_0373.json,1_0373_B0XX_0_Level1.jpg,1,1,Minor damage,1,1,352,624,559,719,208,96,0.01874348958333333,0.355931557181313,0.9381899418522378,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0379_000,1,379,1_0379,B001,26.55511,-77.10044,data/raw/FRAME/1_0379.jpg,data/raw/MASK/1_0379_B0XX_0_Level0.jpg,data/raw/JSON/1_0379.json,1_0379_B0XX_0_Level0.jpg,0,0,No or very minor damage,1,1,512,336,599,375,88,40,0.002269965277777778,0.4352499850621415,0.4893947843637136,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0379_001,1,379,1_0379,B002,26.55516,-77.09986,data/raw/FRAME/1_0379.jpg,data/raw/MASK/1_0379_B0XX_0_Level2.jpg,data/raw/JSON/1_0379.json,1_0379_B0XX_0_Level2.jpg,2,2,Moderate damage,1,1,576,344,687,375,112,32,0.0029698350694444446,0.49195144090244797,0.5011711931149272,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0379_002,1,379,1_0379,B003,26.55452,-77.09913,data/raw/FRAME/1_0379.jpg,data/raw/MASK/1_0379_B0XX_0_Level3.jpg,data/raw/JSON/1_0379.json,1_0379_B0XX_0_Level3.jpg,3,3,Severe damage,1,1,296,368,439,407,144,40,0.003675130208333333,0.287786942722173,0.5384210051504117,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0405_000,1,405,1_0405,B001,26.55511,-77.10044,data/raw/FRAME/1_0405.jpg,data/raw/MASK/1_0405_B0XX_0_Level0.jpg,data/raw/JSON/1_0405.json,1_0405_B0XX_0_Level0.jpg,0,0,No or very minor damage,1,1,440,344,567,391,128,48,0.003828125,0.3891539558531746,0.5090947026958932,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0405_001,1,405,1_0405,B002,26.55516,-77.09986,data/raw/FRAME/1_0405.jpg,data/raw/MASK/1_0405_B0XX_0_Level2.jpg,data/raw/JSON/1_0405.json,1_0405_B0XX_0_Level2.jpg,2,2,Moderate damage,1,1,504,360,655,407,152,48,0.006092664930555556,0.4530902159394479,0.5359631938260612,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0405_002,1,405,1_0405,B003,26.55452,-77.09913,data/raw/FRAME/1_0405.jpg,data/raw/MASK/1_0405_B0XX_0_Level3.jpg,data/raw/JSON/1_0405.json,1_0405_B0XX_0_Level3.jpg,3,3,Severe damage,1,1,56,408,255,455,200,48,0.008094618055555556,0.11993412784852546,0.6010245382782246,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0405_003,1,405,1_0405,B007,26.55558,-77.09952,data/raw/FRAME/1_0405.jpg,data/raw/MASK/1_0405_B0XX_1_Level0.jpg,data/raw/JSON/1_0405.json,1_0405_B0XX_1_Level0.jpg,0,0,No or very minor damage,2,1,848,368,927,423,80,56,0.0034375,0.6922634548611111,0.5480858936588103,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0405_004,1,405,1_0405,B005,26.55488,-77.09872,data/raw/FRAME/1_0405.jpg,data/raw/MASK/1_0405_B0XX_2_Level0.jpg,data/raw/JSON/1_0405.json,1_0405_B0XX_2_Level0.jpg,0,0,No or very minor damage,1,1,440,432,559,487,120,56,0.004835069444444445,0.39043617453994617,0.6380853530819869,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0405_005,1,405,1_0405,B006,26.55441,-77.09877,data/raw/FRAME/1_0405.jpg,data/raw/MASK/1_0405_B0XX_3_Level0.jpg,data/raw/JSON/1_0405.json,1_0405_B0XX_3_Level0.jpg,0,0,No or very minor damage,1,1,216,440,343,511,128,72,0.006438802083333334,0.21668325539265249,0.6612279051042954,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0408_000,1,408,1_0408,B001,26.55511,-77.10044,data/raw/FRAME/1_0408.jpg,data/raw/MASK/1_0408_B0XX_0_Level0.jpg,data/raw/JSON/1_0408.json,1_0408_B0XX_0_Level0.jpg,0,0,No or very minor damage,1,2,432,344,551,391,120,48,0.0038682725694444446,0.3825422948807854,0.5110869565217391,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0408_001,1,408,1_0408,B005,26.55488,-77.09872,data/raw/FRAME/1_0408.jpg,data/raw/MASK/1_0408_B0XX_0_Level1.jpg,data/raw/JSON/1_0408.json,1_0408_B0XX_0_Level1.jpg,1,1,Minor damage,1,2,408,440,543,503,136,64,0.006380208333333333,0.3742079878826531,0.6603068310657596,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0408_002,1,408,1_0408,B002,26.55516,-77.09986,data/raw/FRAME/1_0408.jpg,data/raw/MASK/1_0408_B0XX_0_Level2.jpg,data/raw/JSON/1_0408.json,1_0408_B0XX_0_Level2.jpg,2,2,Moderate damage,1,2,496,360,647,415,152,56,0.005891927083333333,0.4474384208103131,0.5403708819316554,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0408_003,1,408,1_0408,B003,26.55452,-77.09913,data/raw/FRAME/1_0408.jpg,data/raw/MASK/1_0408_B0XX_0_Level3.jpg,data/raw/JSON/1_0408.json,1_0408_B0XX_0_Level3.jpg,3,3,Severe damage,1,2,32,416,223,471,192,56,0.008355034722222222,0.09698772321428571,0.6134157647907648,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0408_004,1,408,1_0408,B006,26.55441,-77.09877,data/raw/FRAME/1_0408.jpg,data/raw/MASK/1_0408_B0XX_1_Level0.jpg,data/raw/JSON/1_0408.json,1_0408_B0XX_1_Level0.jpg,0,0,No or very minor damage,1,2,176,456,303,535,128,80,0.007258029513888889,0.1821293588354014,0.6862010182555107,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0408_005,1,408,1_0408,B007,26.55558,-77.09952,data/raw/FRAME/1_0408.jpg,data/raw/MASK/1_0408_B0XX_1_Level2.jpg,data/raw/JSON/1_0408.json,1_0408_B0XX_1_Level2.jpg,2,2,Moderate damage,2,2,848,368,935,431,88,64,0.004314236111111111,0.6984308192907445,0.557264419852448,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0411_000,1,411,1_0411,B001,26.55511,-77.10044,data/raw/FRAME/1_0411.jpg,data/raw/MASK/1_0411_B0XX_0_Level1.jpg,data/raw/JSON/1_0411.json,1_0411_B0XX_0_Level1.jpg,1,1,Minor damage,1,1,424,352,551,391,128,40,0.004008246527777778,0.3756260151597185,0.51486231426337,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0411_001,1,411,1_0411,B002,26.55516,-77.09986,data/raw/FRAME/1_0411.jpg,data/raw/MASK/1_0411_B0XX_0_Level3.jpg,data/raw/JSON/1_0411.json,1_0411_B0XX_0_Level3.jpg,3,3,Severe damage,1,1,480,368,639,415,160,48,0.006722005208333334,0.4382077280064568,0.5456476997578693,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0411_002,1,411,1_0411,B003,26.55452,-77.09913,data/raw/FRAME/1_0411.jpg,data/raw/MASK/1_0411_B0XX_2_Level1.jpg,data/raw/JSON/1_0411.json,1_0411_B0XX_2_Level1.jpg,1,1,Minor damage,1,1,0,424,183,479,184,56,0.009172092013888888,0.06884926209629717,0.629089113661159,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0411_003,1,411,1_0411,B005,26.55488,-77.09872,data/raw/FRAME/1_0411.jpg,data/raw/MASK/1_0411_B0XX_3_Level1.jpg,data/raw/JSON/1_0411.json,1_0411_B0XX_3_Level1.jpg,1,1,Minor damage,1,1,376,456,527,519,152,64,0.007489149305555555,0.3560468206679223,0.6797325251939856,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0411_004,1,411,1_0411,B006,26.55441,-77.09877,data/raw/FRAME/1_0411.jpg,data/raw/MASK/1_0411_B0XX_4_Level1.jpg,data/raw/JSON/1_0411.json,1_0411_B0XX_4_Level1.jpg,1,1,Minor damage,1,1,112,472,263,551,152,80,0.007887369791666666,0.13834122214197275,0.7099750080249461,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0414_000,1,414,1_0414,B001,26.55511,-77.10044,data/raw/FRAME/1_0414.jpg,data/raw/MASK/1_0414_B0XX_0_Level0.jpg,data/raw/JSON/1_0414.json,1_0414_B0XX_0_Level0.jpg,0,0,No or very minor damage,1,1,408,344,535,383,128,40,0.004434678819444445,0.36583909346709076,0.5037411983796862,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0414_001,1,414,1_0414,B003,26.55452,-77.09913,data/raw/FRAME/1_0414.jpg,data/raw/MASK/1_0414_B0XX_0_Level1.jpg,data/raw/JSON/1_0414.json,1_0414_B0XX_0_Level1.jpg,1,1,Minor damage,1,1,0,424,135,487,136,64,0.00681640625,0.050237658190066856,0.6332871254731332,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0414_002,1,414,1_0414,B002,26.55516,-77.09986,data/raw/FRAME/1_0414.jpg,data/raw/MASK/1_0414_B0XX_0_Level3.jpg,data/raw/JSON/1_0414.json,1_0414_B0XX_0_Level3.jpg,3,3,Severe damage,1,1,464,360,639,407,176,48,0.007137586805555556,0.43295870230313166,0.5350095858248032,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0414_003,1,414,1_0414,B005,26.55488,-77.09872,data/raw/FRAME/1_0414.jpg,data/raw/MASK/1_0414_B0XX_1_Level1.jpg,data/raw/JSON/1_0414.json,1_0414_B0XX_1_Level1.jpg,1,1,Minor damage,1,1,344,456,503,527,160,72,0.008175998263888888,0.3361695421366954,0.6892011354420113,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0437_000,1,437,1_0437,B001,26.55511,-77.10044,data/raw/FRAME/1_0437.jpg,data/raw/MASK/1_0437_B0XX_0_Level0.jpg,data/raw/JSON/1_0437.json,1_0437_B0XX_0_Level0.jpg,0,0,No or very minor damage,1,1,256,192,447,255,192,64,0.009812282986111111,0.2736608253621586,0.31241829161905466,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0437_001,1,437,1_0437,B008,26.55467,-77.10075,data/raw/FRAME/1_0437.jpg,data/raw/MASK/1_0437_B0XX_0_Level1.jpg,data/raw/JSON/1_0437.json,1_0437_B0XX_0_Level1.jpg,1,1,Minor damage,1,1,0,168,103,223,104,56,0.0047428385416666665,0.038509136925188744,0.27009646915274915,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0437_002,1,437,1_0437,B002,26.55516,-77.09986,data/raw/FRAME/1_0437.jpg,data/raw/MASK/1_0437_B0XX_0_Level2.jpg,data/raw/JSON/1_0437.json,1_0437_B0XX_0_Level2.jpg,2,2,Moderate damage,1,1,288,248,559,327,272,80,0.018130425347222222,0.336385284502364,0.3986850067495229,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0437_003,1,437,1_0437,B007,26.55558,-77.09952,data/raw/FRAME/1_0437.jpg,data/raw/MASK/1_0437_B0XX_0_Level3.jpg,data/raw/JSON/1_0437.json,1_0437_B0XX_0_Level3.jpg,3,3,Severe damage,2,1,936,272,1087,391,152,120,0.015455729166666666,0.790565874227745,0.46733068894505286,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0440_000,1,440,1_0440,B001,26.55511,-77.10044,data/raw/FRAME/1_0440.jpg,data/raw/MASK/1_0440_B0XX_0_Level0.jpg,data/raw/JSON/1_0440.json,1_0440_B0XX_0_Level0.jpg,0,0,No or very minor damage,1,1,224,208,431,279,208,72,0.011266276041666667,0.25529147705383803,0.340864741511231,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0440_001,1,440,1_0440,B002,26.55516,-77.09986,data/raw/FRAME/1_0440.jpg,data/raw/MASK/1_0440_B0XX_0_Level2.jpg,data/raw/JSON/1_0440.json,1_0440_B0XX_0_Level2.jpg,2,2,Moderate damage,1,1,248,272,543,367,296,96,0.022329644097222223,0.312489256341416,0.44250314506157845,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
1_0440_002,1,440,1_0440,B007,26.55558,-77.09952,data/raw/FRAME/1_0440.jpg,data/raw/MASK/1_0440_B0XX_0_Level3.jpg,data/raw/JSON/1_0440.json,1_0440_B0XX_0_Level3.jpg,3,3,Severe damage,2,1,952,304,1119,447,168,144,0.020884331597222222,0.804796161414766,0.52718028206416,09 September 2019,"Marsh Harbor, Abaco, the bahamas",https://youtu.be/T0GojxvrFm8
