sample_id,building_id,damage_level,split
1_0373_000,B004,1,train
1_0379_000,B001,0,test
1_0379_001,B002,2,train
1_0379_002,B003,3,train
1_0405_000,B001,0,test
1_0405_001,B002,2,train
1_0405_002,B003,3,train
1_0405_003,B007,0,test
1_0405_004,B005,0,train
1_0405_005,B006,0,val
1_0408_000,B001,0,test
1_0408_001,B005,1,train
1_0408_002,B002,2,train
1_0408_003,B003,3,train
1_0408_004,B006,0,val
1_0408_005,B007,2,test
1_0411_000,B001,1,test
1_0411_001,B002,3,train
1_0411_002,B003,1,train
1_0411_003,B005,1,train
1_0411_004,B006,1,val
1_0414_000,B001,0,test
1_0414_001,B003,1,train
1_0414_002,B002,3,train
1_0414_003,B005,1,train
1_0437_000,B001,0,test
1_0437_001,B008,1,test
1_0437_002,B002,2,train
1_0437_003,B007,3,test
1_0440_000,B001,0,test
1_0440_001,B002,2,train
1_0440_002,B007,3,test
1_0443_000,B001,0,test
1_0443_001,B002,2,train
1_0443_002,B007,4,test
1_0446_000,B001,0,test
1_0446_001,B002,2,train
1_0446_002,B007,4,test
1_0469_000,B009,2,test
1_0469_001,B010,3,train
1_0472_000,B009,2,test
1_0475_000,B009,2,test
1_0478_000,B009,2,test
1_0501_000,B011,1,val
1_0501_001,B012,3,val
1_0501_002,B013,4,val
1_0501_003,B009,1,test
1_0501_004,B014,3,val
1_0504_000,B011,0,val
1_0504_001,B009,2,test
1_0504_002,B013,3,val
1_0507_000,B011,0,val
1_0507_001,B009,2,test
1_0507_002,B013,4,val
1_0510_000,B011,1,val
1_0510_001,B009,2,test
1_0510_002,B012,3,val
1_0510_003,B013,4,val
1_0533_000,B009,1,test
1_0533_001,B012,3,val
1_0533_002,B013,4,val
1_0533_003,B014,3,val
1_0536_000,B014,2,val
1_0536_001,B012,3,val
1_0536_002,B013,4,val
1_0536_003,B009,2,test
1_0539_000,B014,2,val
1_0539_001,B012,4,val
1_0539_002,B009,2,test
1_0539_003,B013,4,val
1_0542_000,B014,2,val
1_0542_001,B012,3,val
1_0542_002,B013,5,val
1_0542_003,B009,2,test
1_0565_000,B014,2,val
1_0565_001,B012,3,val
1_0565_002,B013,4,val
1_0565_003,B015,5,train
1_0568_000,B014,1,val
1_0568_001,B015,4,train
1_0571_000,B012,3,val
1_0571_001,B015,4,train
1_0571_002,B014,3,val
1_0574_000,B014,3,val
1_0574_001,B013,4,val
1_0574_002,B015,5,train
1_0661_000,B016,3,val
1_0661_001,B017,3,train
1_0664_000,B016,3,val
1_0664_001,B017,3,train
1_0667_000,B016,3,val
1_0667_001,B017,3,train
1_0670_000,B016,3,val
1_0693_000,B018,3,train
1_0696_000,B018,3,train
1_0702_000,B018,3,train
1_0725_000,B020,1,val
1_0725_001,B018,3,train
1_0725_002,B019,4,train
1_0728_000,B018,3,train
1_0728_001,B019,4,train
1_0728_002,B018,4,train
1_0731_000,B018,3,train
1_0731_001,B019,4,train
1_0734_000,B020,3,val
1_0734_001,B019,4,train
1_0734_002,B018,3,train
1_0757_000,B020,2,val
1_0757_001,B019,4,train
1_0760_000,B021,2,test
1_0760_001,B020,3,val
1_0760_002,B019,4,train
1_0763_000,B021,1,test
1_0763_001,B020,3,val
1_0763_002,B019,4,train
1_0766_000,B021,2,test
1_0766_001,B020,3,val
1_0766_002,B019,4,train
1_0769_000,B021,2,test
1_0769_001,B020,3,val
1_0769_002,B019,4,train
1_0789_000,B021,1,test
1_0792_000,B021,1,test
1_0795_000,B021,1,test
1_0798_000,B021,1,test
1_0801_000,B021,2,test
1_0885_000,B029,0,test
1_0885_001,B022,2,train
1_0885_002,B023,3,test
1_0885_003,B024,4,test
1_0885_004,B025,5,val
1_0885_005,B026,3,train
1_0885_006,B027,4,test
1_0885_007,B028,5,val
1_0888_000,B029,0,test
1_0888_001,B022,2,train
1_0888_002,B030,3,train
1_0888_003,B024,4,test
1_0888_004,B025,5,val
1_0888_005,B031,3,train
1_0888_006,B028,5,val
1_0888_007,B023,3,test
1_0888_008,B026,3,train
1_0888_009,B027,4,test
1_0891_000,B029,1,test
1_0891_001,B031,2,train
1_0891_002,B030,3,train
1_0891_003,B024,4,test
1_0891_004,B025,5,val
1_0891_005,B022,2,train
1_0891_006,B023,3,test
1_0891_007,B027,4,test
1_0891_008,B028,5,val
1_0891_009,B026,3,train
1_0894_000,B029,1,test
1_0894_001,B022,2,train
1_0894_002,B026,3,train
1_0894_003,B024,4,test
1_0894_004,B025,5,val
1_0894_005,B028,5,val
1_0894_006,B027,4,test
1_0897_000,B030,2,train
1_0897_001,B026,3,train
1_0897_002,B024,4,test
1_0897_003,B025,5,val
1_0897_004,B022,2,train
1_0897_005,B027,4,test
1_0897_006,B028,5,val
2_0001_000,B024,3,test
2_0001_001,B027,4,test
2_0001_002,B025,5,val
2_0001_003,B026,3,train
2_0001_004,B028,5,val
2_0004_000,B032,0,train
2_0004_001,B031,3,train
2_0004_002,B024,4,test
2_0004_003,B025,5,val
2_0004_004,B026,3,train
2_0004_005,B028,5,val
2_0014_000,B033,0,train
2_0014_001,B029,2,test
2_0014_002,B024,3,test
2_0014_003,B030,4,train
2_0014_004,B025,5,val
2_0014_005,B032,0,train
2_0014_006,B031,2,train
2_0014_007,B033,4,train
2_0014_008,B028,4,val
2_0014_009,B026,4,train
2_0014_010,B028,5,val
2_0021_000,B032,0,train
2_0021_001,B029,1,test
